"Acting Teacher","75","{""emoji"":{""char"":""👨‍🏫""}}"
"Action Officer","75","{""emoji"":{""char"":""👮""}}"
"Actionscript Developer","75","{""emoji"":{""char"":""👨‍💻""}}"
"Activation Manager","75","{""emoji"":{""char"":""👔""}}"
"Active Directory Specialist","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Active Duty","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Activist","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Activities Assistant","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Activities Coordinator","75","{""emoji"":{""char"":""👔""}}"
"Activities Director","75","{""emoji"":{""char"":""👔""}}"
"Activities Lead","65","{""emoji"":{""char"":""👔""}}"
"Activities Manager","75","{""emoji"":{""char"":""👔""}}"
"Activities Therapist","65","{""emoji"":{""char"":""🧠""}}"
"Actor","80","{""emoji"":{""char"":""🎭""}}"
"Actor Model","65","{""emoji"":{""char"":""🎭""}}"
"Actuarial Analyst","75","{""emoji"":{""char"":""📊""}}"
"Actuarial Assistant","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Actuarial Associate","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Actuarial Consultant","75","{""emoji"":{""char"":""💼""}}"
"Actuarial Intern","65","{""emoji"":{""char"":""🎓""}}"
"Actuarial Manager","75","{""emoji"":{""char"":""👔""}}"
"Actuarial Specialist","75","{""emoji"":{""char"":""🧑‍💼""}}"
"Actuarial Student","65","{""emoji"":{""char"":""🎓""}}"
"Actuary","80","{""emoji"":{""char"":""💰""}}"
"Acupuncture Physician","75","{""emoji"":{""char"":""🩺""}}"
"Acupuncturist","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Acute Care Licensed Practical Nurse","55","{""emoji"":{""char"":""👩‍⚕️""}}"
"Acute Care Nurse","65","{""emoji"":{""char"":""👩‍⚕️""}}"
"Acute Care Nurse Practitioner","50","{""emoji"":{""char"":""👩‍⚕️""}}"
"Acute Care Physical Therapist","50","{""emoji"":{""char"":""🧠""}}"
"Acute Care Physician","65","{""emoji"":{""char"":""🩺""}}"
"Addiction Psychiatrist","65","{""emoji"":{""char"":""🩺""}}"
"Addiction Recovery Coach","55","{""emoji"":{""char"":""🏅""}}"
"Additional General Manager","65","{""emoji"":{""char"":""🎖️""}}"
"Adjudicator","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Adjunct","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Adjunct Assistant Professor","65","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Associate Professor","65","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Director","75","{""emoji"":{""char"":""👔""}}"
"Adjunct English Instructor","55","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Faculty Instructor","55","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Faculty Member","55","{""emoji"":{""char"":""🧑‍💼""}}"
"Adjunct Instructor","65","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Lecturer","65","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Mathematics Instructor","55","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor","75","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor Accounting","55","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor Mathematics","55","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Business","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Computer Science","45","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of English","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Finance","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of History","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Law","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Marketing","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Professor of Psychology","50","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjunct Teacher","75","{""emoji"":{""char"":""👨‍🏫""}}"
"Adjuster","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Adjustment Clerk","65","{""emoji"":{""char"":""🛒""}}"
"Administration","80","{""emoji"":{""char"":""🧑‍💼""}}"
"Administration Clerk","65","{""emoji"":{""char"":""🛒""}}"
"Administration Employee","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Administration Management Specialist","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Administrative Accountant","75","{""emoji"":{""char"":""💰""}}"
"Administrative Accounting","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Administrative Analyst","75","{""emoji"":{""char"":""📊""}}"
"Administrative Assistance Specialist","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Administrative Assistant","65","{""emoji"":{""char"":""🧑‍💼""}}"
"Administrative Assistant Accounts Payable","50","{""emoji"":{""char"":""🧑‍💼""}}"
"Administrative Assistant Bookkeeper","55","{""emoji"":{""char"":""💰""}}"
"Administrative Assistant Coordinator","65","{""emoji"":{""char"":""👔""}}"
"Administrative Assistant Event Coordinator","60","{""emoji"":{""char"":""👔""}}"
"Administrative Assistant Intern","55","{""emoji"":{""char"":""🎓""}}"
"Administrative Assistant Office Manager","60","{""emoji"":{""char"":""👔""}}"
